nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:52:49,917] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Alter Wave (FC003704)
[2026-05-12 17:52:49,917] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004483
[2026-05-12 17:52:50,268] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BLACKCUBE LAB(BCL) (FC004483)
[2026-05-12 17:52:50,268] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003021
[2026-05-12 17:52:50,625] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BMW JOYSQUARE (FC003021)
[2026-05-12 17:52:50,625] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001246
[2026-05-12 17:52:50,983] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BNK부산은행 조은극장 (FC001246)
[2026-05-12 17:52:50,983] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000582
[2026-05-12 17:52:51,327] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BOYS24 HALL(구. 메사고릴라전용관) (폐관) (FC000582)
[2026-05-12 17:52:51,327] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003893
[2026-05-12 17:52:51,646] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BRST STUDIO (FC003893)
[2026-05-12 17:52:51,646] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004857
[2026-05-12 17:52:51,988] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BUNKER1 (벙커1) (FC004857)
